V_actual,OMEGA_actual,V_ref,OMEGA_ref
0.002750596255165804,-0.3117963188420254,0.0,-0.3141592653589793
0.0027712883770950256,-0.31123712612647914,0.0,-0.3141592653589793
0.0027701362510157653,-0.3111031502060706,0.0,-0.3141592653589793
0.002791700571600351,-0.31118605743062994,0.0,-0.3141592653589793
0.002794287431910357,-0.3113493413288448,0.0,-0.3141592653589793
0.002798249950386883,-0.3116251891526296,0.0,-0.3141592653589793
0.0028024706796582403,-0.3119140835962801,0.0,-0.3141592653589793
0.002807059815135707,-0.31220482549086725,0.0,-0.3141592653589793
0.002812304105396582,-0.3124928047453747,0.0,-0.3141592653589793
0.002817422952432205,-0.31278164533592856,0.0,-0.3141592653589793
0.0028224551748520805,-0.31307477824535723,0.0,-0.3141592653589793
0.0028300272712018237,-0.3134707716501311,0.0,-0.3141592653589793
0.0028368279580717045,-0.3137652343411858,0.0,-0.3141592653589793
0.0028441625541107663,-0.31405517153251766,0.0,-0.3141592653589793
0.0028481174775471527,-0.31425348069884534,0.0,-0.3141592653589793
0.0028531969731516622,-0.31454456159586786,0.0,-0.3141592653589793
0.002855981629484192,-0.3148033537748046,0.0,-0.3141592653589793
0.002840540393979171,-0.31472202408704436,0.0,-0.3141592653589793
0.0028347417019059778,-0.31455103333733353,0.0,-0.3141592653589793
0.0028246524826760055,-0.31416273897152913,0.0,-0.3141592653589793
0.002792949528583985,-0.31295993624297586,0.0,-0.3141592653589793
0.0025198997673048272,-0.3052240471937154,0.0,-0.3141592653589793
0.00460291477570176,-0.28670626706210184,0.0,-0.3141592653589793
0.0029082459161919707,-0.3109285526506942,0.0,-0.3141592653589793
0.0027854432620445764,-0.311375589184658,0.0,-0.3141592653589793
0.0027834740738682485,-0.3111432568346585,0.0,-0.3141592653589793
0.002778262167909906,-0.31114986949960316,0.0,-0.3141592653589793
0.0027845596333736624,-0.31146831338537667,0.0,-0.3141592653589793
0.0027884455363896415,-0.31174596508192043,0.0,-0.3141592653589793
0.002791156561102572,-0.3119344961116301,0.0,-0.3141592653589793
0.002795528898944742,-0.31222134412494945,0.0,-0.3141592653589793
0.0028003025512651613,-0.31250531059452763,0.0,-0.3141592653589793
0.0028050023490248637,-0.31279092076501164,0.0,-0.3141592653589793
0.002809690409479899,-0.313080407477312,0.0,-0.3141592653589793
0.0028149071684430357,-0.3133717543377286,0.0,-0.3141592653589793
0.002821078955352436,-0.31366247923008994,0.0,0.0
2.6086216318452558e-05,-0.0004779808978098905,0.0,0.0
2.6251252546864745e-05,-0.00047880630976834766,0.0,0.0
2.646665889081298e-05,-0.000479927157721281,0.0,0.0
2.6649828848021062e-05,-0.0004809183759667429,0.0,0.0
2.6806833529419884e-05,-0.00048180535124554277,0.0,0.0
2.694206259075777e-05,-0.0004826047280445789,0.0,0.0
2.7059568207862658e-05,-0.0004833344997156526,0.0,0.0
2.7194545372556883e-05,-0.00048422383351406543,0.0,0.0
2.7253230090700482e-05,-0.0004846311744807112,0.0,0.0
0.02912138230504127,0.013147724322173879,0.2,0.0
0.08546832089694438,0.0394073758145211,0.2,0.0
0.16056326347943548,0.11377151507996337,0.2,0.0
0.18275542514922613,0.11379807114735556,0.2,0.0
0.1994677450903533,0.0029683407174986693,0.2,0.0
0.19992246389684787,-0.0003737606942629681,0.2,0.0
0.2001435180334914,-0.00036817239578851096,0.2,0.0
0.20023683186831914,0.00019821698139473138,0.2,0.0
0.19886451004316136,0.008340367060595297,0.2,0.0
0.1995994956163565,-0.00047603443189330147,0.2,0.0
0.19980846578318215,-0.00023140101563055374,0.2,0.0
0.2000176759601067,-0.00032815987834495136,0.2,0.0
